
#-----------------------------------------------------------------------------
# Date d'extraction : 09/05/2025
#-----------------------------------------------------------------------------
# Producteur : MF-DCSC
# Experience : TRACC-2023
# Modele     : MEAN de l’ensemble EXPLORE2  / ADAMONT / RCP8.5
# Historique : 1976-2005
#-----------------------------------------------------------------------------
# Indices : 
#    RRq99 : Valeur du 99e centile des précipitations quotidiennes
#     Moyenne temporelle
#     Valeur absolue
#-----------------------------------------------------------------------------
# Format des enregistrements 
# Point;Latitude;Longitude;RWL;RRq99;
#-----------------------------------------------------------------------------                     

Point;Latitude;Longitude;RWL;Value
1860;42.2971;-4.1033;REF;nan
2003;42.3687;-4.1113;REF;nan
2146;42.4403;-4.1192;REF;nan
2289;42.5119;-4.1272;REF;nan
2432;42.5835;-4.1352;REF;nan
2575;42.6551;-4.1432;REF;nan
2718;42.7267;-4.1512;REF;nan
2861;42.7983;-4.1592;REF;nan
3004;42.8699;-4.1673;REF;nan
3147;42.9415;-4.1754;REF;nan
3290;43.0131;-4.1835;REF;nan
3433;43.0847;-4.1916;REF;nan
3576;43.1564;-4.1998;REF;nan
3719;43.228;-4.2079;REF;nan
3862;43.2996;-4.2161;REF;nan
4005;43.3713;-4.2243;REF;nan
4148;43.4429;-4.2325;REF;nan
4291;43.5145;-4.2408;REF;nan
4434;43.5862;-4.2491;REF;nan
4577;43.6578;-4.2573;REF;nan
4720;43.7295;-4.2657;REF;nan
4863;43.8012;-4.274;REF;nan
5006;43.8728;-4.2823;REF;nan
5149;43.9445;-4.2907;REF;nan
5292;44.0162;-4.2991;REF;nan
5435;44.0878;-4.3075;REF;nan
5578;44.1595;-4.316;REF;nan
5721;44.2312;-4.3244;REF;nan
5864;44.3028;-4.3329;REF;nan
6007;44.3745;-4.3414;REF;nan
6150;44.4462;-4.3499;REF;nan
6293;44.5179;-4.3585;REF;nan
6436;44.5896;-4.367;REF;nan
6579;44.6613;-4.3756;REF;nan
6722;44.7329;-4.3842;REF;nan
6865;44.8046;-4.3929;REF;nan
7008;44.8763;-4.4015;REF;nan
7151;44.948;-4.4102;REF;nan
7294;45.0197;-4.4189;REF;nan
7437;45.0914;-4.4276;REF;nan
7580;45.1631;-4.4364;REF;nan
7723;45.2348;-4.4451;REF;nan
7866;45.3065;-4.4539;REF;nan
8009;45.3782;-4.4627;REF;nan
8152;45.4499;-4.4716;REF;nan
8295;45.5216;-4.4804;REF;nan
8438;45.5933;-4.4893;REF;nan
8581;45.665;-4.4982;REF;nan
8724;45.7367;-4.5071;REF;nan
8867;45.8084;-4.5161;REF;nan
9010;45.8801;-4.5251;REF;nan
9153;45.9518;-4.5341;REF;nan
9296;46.0235;-4.5431;REF;nan
9439;46.0952;-4.5521;REF;nan
9582;46.1669;-4.5612;REF;nan
9725;46.2386;-4.5703;REF;nan
9868;46.3103;-4.5794;REF;nan
10011;46.382;-4.5885;REF;nan
10154;46.4537;-4.5977;REF;nan
10297;46.5254;-4.6069;REF;nan
10440;46.5971;-4.6161;REF;nan
10583;46.6688;-4.6254;REF;nan
10726;46.7405;-4.6346;REF;nan
10869;46.8121;-4.6439;REF;nan
11012;46.8838;-4.6532;REF;nan
11155;46.9555;-4.6625;REF;nan
11298;47.0272;-4.6719;REF;nan
11441;47.0989;-4.6813;REF;nan
11584;47.1706;-4.6907;REF;nan
11727;47.2422;-4.7001;REF;nan
11870;47.3139;-4.7096;REF;nan
12013;47.3856;-4.7191;REF;nan
12156;47.4573;-4.7286;REF;nan
12299;47.5289;-4.7381;REF;nan
12442;47.6006;-4.7477;REF;nan
12585;47.6723;-4.7573;REF;nan
12728;47.7439;-4.7669;REF;nan
12871;47.8156;-4.7766;REF;nan
13014;47.8872;-4.7862;REF;nan
